accx,accy,accz,gryx,gryy,gryz,number,activity
0.3562501,0.8203124,0.42209134,-2.1159427,0.5967194,0.060652878,8.0,1
0.35231405,0.4963262,0.3686388,-1.9745058,0.35334724,0.1667545,8.0,1
0.2859712,0.21663678,0.37012786,-1.3707341,0.62570536,0.05436648,8.0,1
0.15638718,0.008253973,0.21644819,-0.2843192,0.30702725,-0.04503221,8.0,1
0.124658704,-0.12814449,-0.038801543,0.9450009,-0.22921833,-0.023119092,8.0,1
0.17306079,-0.1380074,-0.006700522,1.6095905,-0.39221606,-0.043593228,8.0,1
0.13687882,0.0010187536,0.26272985,1.8170563,-0.14273107,-0.123632185,8.0,1
0.12451619,0.1951115,0.46241564,2.5319946,0.21231043,-0.23087473,8.0,1
0.15026544,0.44968528,0.38218477,2.9205225,-0.036667816,-0.18295707,8.0,1
0.2292505,0.6938109,0.5400375,2.7392247,-0.29614055,-0.11361173,8.0,1
0.30508524,0.9571873,0.6745831,2.6989021,-0.61596054,-0.03916084,8.0,1
0.40416393,1.1191871,0.6088505,2.5977173,-1.2232531,0.062450785,8.0,1
0.49475664,1.2639123,0.5526806,2.4347496,-1.5040982,-0.17252691,8.0,1
0.51942647,1.3792264,0.61508125,2.2402163,-0.9400325,-0.2799041,8.0,1
0.59238267,1.362037,0.7589781,1.5294935,-0.78670704,-0.21027286,8.0,1
0.5587645,1.1983588,0.77337396,0.41827735,-1.1813443,-0.12686887,8.0,1
0.5247866,1.006118,0.71746695,-0.13290428,-0.64234287,-0.059502743,8.0,1
0.4797946,0.9308914,0.52498084,-0.15879573,0.15534139,0.14481351,8.0,1
0.523984,0.90860355,0.35608009,-0.64998794,-0.08577966,0.3419351,8.0,1
0.5591459,0.9595168,0.40018344,-0.6586008,0.4999463,0.53140193,8.0,1
0.62642235,1.0249325,0.5356041,-1.6291041,0.59520316,0.8004066,8.0,1
0.7126607,1.1096393,0.7694441,-2.215507,0.7509739,1.0274119,8.0,1
0.719718,1.2529038,0.6525223,-2.4525197,1.1524256,0.8891082,8.0,1
0.41553864,-1.0203638,0.590844,-0.95336866,0.78077304,1.4058627,9.0,1
0.41171843,-1.0834377,0.94287884,-0.81681406,0.9350427,1.4928674,9.0,1
0.7722622,-0.9489868,0.88463366,-0.7411541,0.6860889,1.5586139,9.0,1
0.60294235,-0.8499157,0.73475564,-0.78819066,0.39477602,1.6210444,9.0,1
0.5354575,-0.84102935,0.6333114,-0.9141162,0.63022095,1.3041624,9.0,1
0.42640442,-0.7878083,0.29681975,-0.23441517,0.18055432,0.70738196,9.0,1
0.08023066,-0.69342303,0.4557631,-0.08052949,0.16353735,1.1573453,9.0,1
0.46133104,-0.7069646,0.37350887,-1.056727,0.13217378,0.7016049,9.0,1
0.057008814,-0.6823494,0.47592515,-0.04235914,0.24403194,0.57890826,9.0,1
-0.13265984,-0.6921714,0.27379707,-0.47024405,0.18776251,0.7608065,9.0,1
0.03397085,-0.6966006,0.17676583,-0.20994565,0.0718552,0.40882593,9.0,1
-0.2699922,-0.6439694,0.17281732,0.122539565,-0.24326399,-0.63114595,9.0,1
-0.20810115,-0.49269128,0.26220626,0.49710467,-0.16240288,-0.6392617,9.0,1
-0.27477866,-0.58250827,0.17765455,0.6125931,-0.53407073,-0.6224542,9.0,1
-0.116446316,-0.64094985,0.19887677,0.22235495,-0.206263,-0.9746791,9.0,1
0.0032618605,-0.6661617,0.24749438,0.3931354,-1.2162676,-0.71952945,9.0,1
0.014879485,-0.6029701,0.63999116,1.1432954,-1.0826102,-1.4338055,9.0,1
0.33154425,-0.6867662,-0.043440394,-0.20011945,-1.0542487,-1.7769197,9.0,1
0.14717923,-0.69540256,0.5607489,0.15793484,-1.2803386,-2.7472878,9.0,1
0.4767545,-0.62263036,0.6690482,2.1168923,-1.5969763,-1.859788,9.0,1
0.85798514,-0.8048569,0.70236015,1.3722477,-1.8729303,-0.9336988,9.0,1
0.65996075,-1.0486106,0.3722792,0.3682121,-2.0423493,-0.7518529,9.0,1
0.6442845,-0.99335814,0.6263164,3.603651,-1.1495786,-0.034103733,9.0,1
